id,sourceId,sourceName,status,message,details,itemsFound,itemsCreated,itemsUpdated,createdAt
cmreilb8g0030d7hznwaspzsc,cmreilaql000gd7hz8ue7x08m,Paulding County Parks calendar,SUCCESS,Seeded sample scrape log entry.,,4,2,2,1783662487072
cmreilb8g0031d7hzd8ixc0sn,cmreilan30002d7hzooe8bupd,City of Hiram Facebook,PARTIAL,Manual review source seeded without automated scraping.,,0,0,0,1783662487072
cmreilb8g0032d7hzktiqtojq,cmreilav2000xd7hzrghy3i53,Cobb County Government Facebook,PARTIAL,Manual review source seeded without automated scraping.,,0,0,0,1783662487072
cmreile2c0001d7itf40w3f1t,cmreilawe0012d7hzx9x3q60s,Bartow County Parks and Recreation Facebook,PARTIAL,Bartow County Parks and Recreation Facebook is tracked as a manual-review social or community source. No automated scrape was attempted.,,0,0,0,1783662490740
cmreile2t0003d7itexw03vjp,cmreilasf000nd7hz4ktcsq32,Cedartown Police Facebook,PARTIAL,Cedartown Police Facebook is tracked as a manual-review social or community source. No automated scrape was attempted.,,0,0,0,1783662490758
cmreile3a0005d7it9l1fovvg,cmreilaxd0016d7hz78q894sp,Cherokee Recreation and Parks Facebook,PARTIAL,Cherokee Recreation and Parks Facebook is tracked as a manual-review social or community source. No automated scrape was attempted.,,0,0,0,1783662490774
cmreile3r0007d7its4glvufm,cmreilb18001md7hz6bgk2h6f,City of Adairsville Facebook,PARTIAL,City of Adairsville Facebook is tracked as a manual-review social or community source. No automated scrape was attempted.,,0,0,0,1783662490791
cmreile480009d7it8d1vu7la,cmreilaq3000ed7hzfa8qjo9v,City of Cedartown Facebook,PARTIAL,City of Cedartown Facebook is tracked as a manual-review social or community source. No automated scrape was attempted.,,0,0,0,1783662490809
cmreile4p000bd7itlp12khee,cmreilao10006d7hzolaz7p4q,City of Dallas Facebook,PARTIAL,City of Dallas Facebook is tracked as a manual-review social or community source. No automated scrape was attempted.,,0,0,0,1783662490826
cmreilebn000dd7itz0wy5yx4,cmreilanc0003d7hzpidg0a1o,City of Dallas official events page,SUCCESS,Parsed 0 possible Dallas event entries.,,0,0,0,1783662491075
cmreilec4000fd7itm3z8vae2,cmreilan30002d7hzooe8bupd,City of Hiram Facebook,PARTIAL,City of Hiram Facebook is tracked as a manual-review social or community source. No automated scrape was attempted.,,0,0,0,1783662491093
cmreileih000hd7itipjx69yv,cmreilamk0000d7hzcfbda3la,City of Hiram official site,PARTIAL,No structured Hiram event entries were detected; manual review may be needed.,,0,0,0,1783662491322
cmreileix000jd7ite09qxmqw,cmreilb6g0026d7hz2tggopp1,City of Powder Springs Facebook,PARTIAL,City of Powder Springs Facebook is tracked as a manual-review social or community source. No automated scrape was attempted.,,0,0,0,1783662491338
cmreilejd000ld7it1i7cphe9,cmreilap0000ad7hzbyijze64,City of Rockmart Facebook,PARTIAL,City of Rockmart Facebook is tracked as a manual-review social or community source. No automated scrape was attempted.,,0,0,0,1783662491354
cmreileph000nd7it9fbturwd,cmreilaoi0008d7hzz7837qzk,City of Rockmart official site,SUCCESS,Parsed 0 Rockmart items.,,0,0,0,1783662491574
cmreilepy000pd7itb4sbvlfn,cmreilb5i0022d7hz9823djom,City of Smyrna Instagram/manual source,PARTIAL,City of Smyrna Instagram/manual source is tracked as a manual-review social or community source. No automated scrape was attempted.,,0,0,0,1783662491590
cmreileqf000rd7ithcdnluxo,cmreilav2000xd7hzrghy3i53,Cobb County Government Facebook,PARTIAL,Cobb County Government Facebook is tracked as a manual-review social or community source. No automated scrape was attempted.,,0,0,0,1783662491607
cmreileqx000td7itxwsnlanf,cmreilavc000yd7hzxoo2vkjc,Cobb PARKS Instagram/manual source,PARTIAL,Cobb PARKS Instagram/manual source is tracked as a manual-review social or community source. No automated scrape was attempted.,,0,0,0,1783662491625
cmreilerf000vd7itfiq18pid,cmreilarx000ld7hz2zg352rq,Dallas Police Facebook,PARTIAL,Dallas Police Facebook is tracked as a manual-review social or community source. No automated scrape was attempted.,,0,0,0,1783662491644
cmreileu0000xd7itutk5qd6j,cmreilapk000cd7hz3rj0smrq,Downtown Cedartown events page,SUCCESS,Parsed 0 Cedartown downtown items.,,0,0,0,1783662491736
cmreileup000zd7it9pobrt3b,cmreilayd001ad7hz8o8ns5ye,Downtown Woodstock Facebook,PARTIAL,Downtown Woodstock Facebook is tracked as a manual-review social or community source. No automated scrape was attempted.,,0,0,0,1783662491761
cmreilev40011d7it8v4bcyhh,cmreilb09001id7hzsg0nfy2s,Explore Canton Facebook,PARTIAL,Explore Canton Facebook is tracked as a manual-review social or community source. No automated scrape was attempted.,,0,0,0,1783662491777
cmreilevl0013d7ityctvpch8,cmreilazc001ed7hze4x9kief,Georgia’s Rome Facebook,PARTIAL,Georgia’s Rome Facebook is tracked as a manual-review social or community source. No automated scrape was attempted.,,0,0,0,1783662491793
cmreilew60015d7ittgzogw6l,cmreilarn000kd7hz83jgpsrv,Hiram Police Facebook,PARTIAL,Hiram Police Facebook is tracked as a manual-review social or community source. No automated scrape was attempted.,,0,0,0,1783662491815
cmreilewq0017d7itwk7o4eqa,cmreilaoa0007d7hzs55ec3u1,MyDallasGA Facebook,PARTIAL,MyDallasGA Facebook is tracked as a manual-review social or community source. No automated scrape was attempted.,,0,0,0,1783662491834
cmreilexe0019d7itlx66r7f8,cmreilar5000id7hzk4d1m93q,Paulding County Parks Facebook,PARTIAL,Paulding County Parks Facebook is tracked as a manual-review social or community source. No automated scrape was attempted.,,0,0,0,1783662491859
cmreilfcd001bd7itwuikaagt,cmreilaql000gd7hz8ue7x08m,Paulding County Parks calendar,SUCCESS,Parsed 0 calendar items from the Paulding calendar.,,0,0,0,1783662492397
cmreilfd4001dd7ituh9nanuq,cmreilard000jd7hzvsy43ybx,Paulding County Sheriff Facebook,PARTIAL,Paulding County Sheriff Facebook is tracked as a manual-review social or community source. No automated scrape was attempted.,,0,0,0,1783662492424
cmreilfdv001fd7itu1nrlc32,cmreilat6000qd7hz5qij1y0u,Pizza Shack Facebook,PARTIAL,Pizza Shack Facebook is tracked as a manual-review social or community source. No automated scrape was attempted.,,0,0,0,1783662492451
cmreilfee001hd7ity7tv0gdq,cmreilas6000md7hzsu79j45y,Rockmart Police Facebook,PARTIAL,Rockmart Police Facebook is tracked as a manual-review social or community source. No automated scrape was attempted.,,0,0,0,1783662492470
cmreilfew001jd7itk5zm0sxg,cmreilasx000pd7hz351mphkj,The Hopp Frogg Music Facebook,PARTIAL,The Hopp Frogg Music Facebook is tracked as a manual-review social or community source. No automated scrape was attempted.,,0,0,0,1783662492489
cmreilfff001ld7it65iprmtk,cmreilasn000od7hzjtw3621p,"What’s Happening in Dallas, Georgia Facebook",PARTIAL,"What’s Happening in Dallas, Georgia Facebook is tracked as a manual-review social or community source. No automated scrape was attempted.",,0,0,0,1783662492508
